H,-14.4982535548
Mg,-1610.32033749619
N,-278.40714729613995
Be,-377.35299694446
Li,-192.33823819533
C,-160.70153898024
Al,-58.65169664964
Na,-1237.52607669136
F, -665.37972108712
B,-77.87303525405
O, -444.97155759349994
P,-184.31617590616
Si,-110.83618727110999
S, -295.251625956032
Cl, -440.56758745474286

