COUPLES,ENT
BBe,-459.276
BeN,-662.59
BeMg,-1994.311
BeO,-832.764
BeLi,-574.609
BeC,-542.668
BeNa,-1615.006
BN,-364.527
BMg,-1695.418
BO,-531.003
BLi,-275.712
BC,-243.277
BNa,-1316.551
MgN,-1898.471
NO,-728.617
LiN,-478.261
CN,-444.956
NNa,-1519.988
MgO,-2068.966
LiMg,-1810.749
CMg,-1778.626
MgNa,-2849.078
LiO,-646.065
CO,-612.137
NaO,-1687.852
CLi,-359.197
LiNa,-1430.422
CNa,-1400.666
